problem_id,problem_text,expected_json
MECH-001,A car starts from rest and accelerates uniformly at 2.5 m/s^2 for 12 s. Find (a) the car's final speed and (b) the distance it travels during this time.,"{""v"": 30.0, ""s"": 180.0}"
MECH-002,"A projectile is launched from ground level at 25 m/s at an angle of 40 degrees above the horizontal. Ignoring air resistance (g=9.8 m/s^2), find the time of flight, the maximum height, and the horizontal range.","{""t_flight"": 3.2795, ""h_max"": 13.1753, ""range_"": 62.8066}"
MECH-003,Two blocks of mass 4 kg and 6 kg are connected by a string over a frictionless pulley (Atwood machine). Find the acceleration and the tension.,"{""a"": 1.96, ""T"": 47.04}"
MECH-004,"A block slides down a 30 degree incline with kinetic friction coefficient 0.2. Starting from rest, find the acceleration and the speed after sliding 4 m.","{""a"": 3.2026, ""v"": 5.0617}"
MECH-005,A 2 kg block compresses a spring (k=500 N/m) by 0.15 m on a frictionless surface. Find the block's speed when released.,"{""v"": 2.3717}"
MECH-006,A 3 kg cart at 4 m/s collides and sticks to a stationary 5 kg cart. Find the final velocity and the kinetic energy lost.,"{""vf"": 1.5, ""KEi"": 24.0, ""KEf"": 9.0, ""dKE"": 15.0}"
MECH-007,"A solid disk (M=2 kg, R=0.25 m) at rest has a constant torque of 0.6 N*m applied. Find the angular acceleration and angular speed after 5 s.","{""I"": 0.0625, ""alpha"": 9.6, ""omega"": 48.0}"
MECH-008,"A satellite orbits Earth at 500 km altitude. Using Earth's mass and radius, find the orbital speed and period.","{""r"": 6871000.0, ""v"": 7616.4534, ""T"": 5668.2243}"
EM-001,"Two point charges, +3 uC and -5 uC, are separated by 0.2 m. Find the force between them.","{""F"": 3.3703}"
EM-002,Find the electric field at 0.5 m from a point charge of +8 uC.,"{""E"": 287601.66}"
EM-003,"A uniformly charged insulating sphere (R=0.1 m, Q=4 uC) — find E at r=0.05 m and r=0.3 m.","{""E_in"": 1797510.36, ""E_out"": 399446.75}"
EM-004,"A 4 ohm and 6 ohm resistor in series, that combination in parallel with 12 ohm, across a 12 V source. Find R_eq and branch currents.","{""R_series"": 10.0, ""R_eq"": 5.4545, ""I_total"": 2.2, ""I_branch1"": 1.2, ""I_branch2"": 1.0}"
EM-005,"A 2 kOhm resistor and 100 uF capacitor in series with a 9 V battery, charging from zero. Find tau and V_C at t=tau.","{""tau"": 0.2, ""Vc"": 5.6891}"
EM-006,A proton at 2e6 m/s enters a 0.5 T field perpendicular to its velocity. Find the radius and period of its circular path.,"{""r"": 0.04175874, ""T"": 1.311889e-07}"
EM-007,"A wire (I=5 A, L=0.3 m) is perpendicular to a 0.8 T field. Find the force.","{""F"": 1.2}"
EM-008,A circular loop (r=0.05 m) sits in a field changing at 0.2 T/s. Find the induced EMF.,"{""A"": 0.007854, ""EMF"": 0.0015708}"
